Timestamp	Year_Study	InPerson_Classes	Commute_Method	Mild_Weather_Rating	Moderate_Weather_Rating	Severe_Weather_Rating	Class_Preference	Preference_Reasons	Weather_Attendance_Factors	Weather_Attendance_Switch	Weather_Preparedness	Comfort_Level	Campus_Accessibility	Weather_Info_Sources	Clothing_Adaptation	Weather_Impact_Performance	Comments
2025/10/31 7:22:02 PM EST	Graduate Student	1-3 classes	Public transportation	2	1	1	Strongly prefer online	Safety concerns;Commute time/convenience	Safety concerns about traveling;Road/transportation conditions	Yes, occasionally (2-4 times)	Yes, mostly reliable	Yes, very comfortable	Willing	Heavy snowfall (6+ inches);Ice storms;Extreme cold (below 10°F);Extreme heat (above 95°F);Severe thunderstorms/tornado warnings;Flooding;Hurricane warnings	Support		
2025/10/31 9:13:58 PM EST	PHD	1-3 classes	Public transportation	5	3	1	Prefer online	Commute time/convenience;Learning effectiveness;Flexibility in schedule	Road/transportation conditions;Personal health concerns;University closure announcements;Professor's decision	Yes, occasionally (2-4 times)	Yes, always reliable	Yes, very comfortable	Very willing	Heavy snowfall (6+ inches);Ice storms;Extreme cold (below 10°F);Extreme heat (above 95°F);Severe thunderstorms/tornado warnings;Flooding;Hurricane warnings	Strongly support	Depends on how frequently public transport is running	Classes should be held online
2025/11/01 11:20:53 AM EST	Graduate Student	1-3 classes	Campus shuttle	3	1	1	Prefer online	Commute time/convenience	Road/transportation conditions	Yes, occasionally (2-4 times)	Yes, mostly reliable	Yes, somewhat comfortable	Willing	Ice storms	Neutral		
2025/11/02 1:55:04 PM EST	Graduate Student	1-3 classes	Walk	2	1	1	No preference	Learning effectiveness;Social interaction with peers;Direct access to professors;Campus environment is more conducive to learning;Flexibility in schedule	Assignment deadlines;Exam schedules	Yes, occasionally (2-4 times)	Frequently unreliable	Yes, somewhat comfortable	Willing	Heavy snowfall (6+ inches);Ice storms;Extreme cold (below 10°F);Extreme heat (above 95°F);Severe thunderstorms/tornado warnings;Flooding;Hurricane warnings	Neutral		
2025/11/04 1:45:45 PM EST	PHD	1-3 classes	Walk	2	1	1	Prefer in-person	Direct access to professors;Campus environment is more conducive to learning	Road/transportation conditions	Yes, rarely (once)	Yes, always reliable	Yes, somewhat comfortable	Very willing	Heavy snowfall (6+ inches);Ice storms;Extreme heat (above 95°F);Severe thunderstorms/tornado warnings;Flooding;Hurricane warnings	Support		
2025/11/07 12:41:29 PM EST	Graduate Student	1-3 classes	Car pooling	1	1	1	Strongly prefer online	Commute time/convenience;Direct access to professors;Home environment is more conducive to learning;Flexibility in schedule	Safety concerns about traveling;Road/transportation conditions;Personal health concerns	Yes, frequently (5+ times)	Yes, always reliable	Yes, very comfortable	Very willing	Heavy snowfall (6+ inches);Ice storms;Extreme cold (below 10°F);Severe thunderstorms/tornado warnings	Support		Depending on the weather condition switch it to online if it’s extreme, offline if the weather is good
2025/11/07 12:48:02 PM EST	Graduate Student	4-6 classes	Public transportation	4	3	2	Prefer in-person	Social interaction with peers;Direct access to professors;Campus environment is more conducive to learning;Flexibility in schedule	When it's too cold I feel so lazy to go to class	Yes, rarely (once)	Yes, always reliable	Yes, very comfortable	Very willing	Heavy snowfall (6+ inches);Ice storms;Extreme cold (below 10°F)	Strongly support	It basically effects the mood to go to class	Make it online when the weather is bad and offline when it is good
2025/11/07 1:54:14 PM EST	Graduate Student	1-3 classes	Ride 	3	3	3	No preference	Safety concerns;Commute time/convenience;Learning effectiveness;Social interaction with peers;Direct access to professors;Technical difficulties with online platforms;Home environment is more conducive to learning;Campus environment is more conducive to learning;Flexibility in schedule	Safety concerns about traveling;Road/transportation conditions;Personal health concerns;University closure announcements;Class importance/difficulty;Assignment deadlines;Exam schedules;Professor's decision	Yes, occasionally (2-4 times)	Yes, always reliable	Yes, very comfortable	Very willing	Heavy snowfall (6+ inches);Ice storms;Extreme cold (below 10°F);Extreme heat (above 95°F);Severe thunderstorms/tornado warnings;Flooding;Hurricane warnings	Strongly support	Very badly because of  weather conditions health gets out of hand so then students can't attend their classes 	Provide commute for students to attend class
2025/11/07 8:30:28 PM EST	Graduate Student	1-3 classes	Walk	5	5	4	Prefer in-person	Learning effectiveness;Social interaction with peers;Direct access to professors;Technical difficulties with online platforms;Campus environment is more conducive to learning	Safety concerns about traveling;Road/transportation conditions;Class importance/difficulty;Professor's decision	Yes, rarely (once)	Yes, mostly reliable	Yes, very comfortable	Willing	Heavy snowfall (6+ inches);Ice storms;Extreme heat (above 95°F);Severe thunderstorms/tornado warnings;Flooding;Hurricane warnings	Strongly support		
2025/11/08 1:11:57 AM EST	Graduate Student	7-9 classes	Bicycle/Scooter	1	2	2	Prefer online	Commute time/convenience;Direct access to professors;Technical difficulties with online platforms;Campus environment is more conducive to learning	Road/transportation conditions;Class importance/difficulty;Assignment deadlines;Professor's decision	Yes, rarely (once)	Frequently unreliable	Neutral	Neutral	Extreme cold (below 10°F);Flooding	Oppose		
